concept_en,pair_name,pair_class,src_lang,layer,donor_type,kl_to_native,english_first_step_mass
tree,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,roman,0.0,0.6469482183456421
tree,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,devanagari,0.0,0.6469482183456421
tree,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,hindi,0.0,0.6469482183456421
river,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,native,0.0,0.5745123028755188
river,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,roman,0.00030874891017473687,0.57747882604599
river,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,devanagari,4.5584370513903144e-05,0.5743834376335144
river,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,hindi,4.8279505708640264e-05,0.5781323909759521
river,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,native,0.0,0.5704119205474854
river,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,roman,0.00042743633828588065,0.5813966393470764
river,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,devanagari,0.00018372651432663472,0.577385425567627
river,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,hindi,0.0003030870776157121,0.5811653733253479
river,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,native,0.0,0.5855898261070251
river,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,roman,0.0,0.5855898261070251
river,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,devanagari,0.0,0.5855898261070251
river,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,hindi,0.0,0.5855898261070251
mountain,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,native,0.0,0.568322479724884
mountain,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,roman,0.0014912196057980105,0.5653483271598816
mountain,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,devanagari,0.0014871561936080217,0.560485303401947
mountain,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,hindi,0.000809144408241109,0.5636429190635681
mountain,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,native,0.0,0.6474179029464722
mountain,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,roman,0.00029415193223550123,0.6429980993270874
mountain,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,devanagari,0.0005007646336870579,0.6425644755363464
mountain,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,hindi,0.0004547675888386108,0.6411728858947754
mountain,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,native,0.0,0.6761788129806519
mountain,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,roman,0.0,0.6761788129806519
mountain,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,devanagari,0.0,0.6761788129806519
mountain,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,hindi,0.0,0.6761788129806519
house,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,native,0.0,0.6290110349655151
house,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,roman,0.003312097432152463,0.6389076113700867
house,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,devanagari,0.0008613328062510458,0.6446905732154846
house,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,hindi,0.000907200888379177,0.6443192958831787
house,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,native,0.0,0.6253295540809631
house,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,roman,0.005218368435979809,0.6637026071548462
house,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,devanagari,0.0007708182239475564,0.6365646719932556
house,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,hindi,0.0005772044641028775,0.6350185871124268
house,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,native,0.0,0.6744467616081238
house,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,roman,0.0,0.6744467616081238
house,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,devanagari,0.0,0.6744467616081238
house,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,hindi,0.0,0.6744467616081238
door,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,native,0.0,0.004356614779680967
door,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,roman,0.0005869452569076923,0.00444343127310276
door,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,devanagari,0.00012664097484237796,0.004413196351379156
door,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,hindi,7.174424897027343e-05,0.004401680547744036
door,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,native,0.0,0.004187287762761116
door,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,roman,0.00031556347316263964,0.004270637407898903
door,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,devanagari,7.006298039589172e-05,0.004244175273925066
door,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,hindi,5.5438367506298065e-05,0.004251844249665737
door,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,native,0.0,0.004690202418714762
door,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,roman,0.0,0.004690202418714762
door,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,devanagari,0.0,0.004690202418714762
door,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,hindi,0.0,0.004690202418714762
water,asm_to_ben,control_same_script,asm_Beng,25,native,0.0,0.4252026379108429
water,asm_to_ben,control_same_script,asm_Beng,25,roman,0.002838557820665337,0.41613566875457764
water,asm_to_ben,control_same_script,asm_Beng,25,devanagari,0.0011970536380062754,0.42148101329803467
water,asm_to_ben,control_same_script,asm_Beng,25,hindi,0.0013300477533616615,0.4164743423461914
water,asm_to_ben,control_same_script,asm_Beng,26,native,0.0,0.4246922433376312
water,asm_to_ben,control_same_script,asm_Beng,26,roman,0.0046849122128838645,0.41026604175567627
water,asm_to_ben,control_same_script,asm_Beng,26,devanagari,0.0010557722209850774,0.42056769132614136
water,asm_to_ben,control_same_script,asm_Beng,26,hindi,0.001266301300741231,0.4154677391052246
water,asm_to_ben,control_same_script,asm_Beng,27,native,0.0,0.42872241139411926
water,asm_to_ben,control_same_script,asm_Beng,27,roman,0.0,0.42872241139411926
water,asm_to_ben,control_same_script,asm_Beng,27,devanagari,0.0,0.42872241139411926
water,asm_to_ben,control_same_script,asm_Beng,27,hindi,0.0,0.42872241139411926
sun,asm_to_ben,control_same_script,asm_Beng,25,native,0.0,0.15390966832637787
sun,asm_to_ben,control_same_script,asm_Beng,25,roman,0.0002683134049606781,0.1601172238588333
sun,asm_to_ben,control_same_script,asm_Beng,25,devanagari,2.176851292065243e-06,0.15394850075244904
sun,asm_to_ben,control_same_script,asm_Beng,25,hindi,2.5613090480499246e-05,0.15406548976898193
sun,asm_to_ben,control_same_script,asm_Beng,26,native,0.0,0.15208910405635834
sun,asm_to_ben,control_same_script,asm_Beng,26,roman,0.00010650565581532968,0.15423807501792908
sun,asm_to_ben,control_same_script,asm_Beng,26,devanagari,5.2499473843149085e-06,0.1521514505147934
sun,asm_to_ben,control_same_script,asm_Beng,26,hindi,2.3990031831648095e-05,0.15224148333072662
sun,asm_to_ben,control_same_script,asm_Beng,27,native,0.0,0.14745616912841797
sun,asm_to_ben,control_same_script,asm_Beng,27,roman,0.0,0.14745616912841797
sun,asm_to_ben,control_same_script,asm_Beng,27,devanagari,0.0,0.14745616912841797
sun,asm_to_ben,control_same_script,asm_Beng,27,hindi,0.0,0.14745616912841797
moon,asm_to_ben,control_same_script,asm_Beng,25,native,0.0,0.2831389307975769
moon,asm_to_ben,control_same_script,asm_Beng,25,roman,0.00016978181625831586,0.2809208929538727
moon,asm_to_ben,control_same_script,asm_Beng,25,devanagari,5.650612638361029e-05,0.27969086170196533
